id,Phone_number,trans_ID,CreditCardDetail
48,279-700-6962,49199-100,5100140915794475
49,245-724-6903,0591-2888,4405103519539956
50,745-864-5502,58118-4299,5547175002028990
51,392-606-1844,63629-1320,3565065035534472
52,437-589-8131,54868-4965,3579973306666408
53,481-348-0964,36800-163,3535743369528685
54,941-241-4665,0409-7972,3549855395283079
55,684-487-2123,52915-020,4911312988577887
56,668-258-2992,43406-0127,3544755839592652
57,689-669-3141,51824-025,4508871449600538
58,853-415-2917,0615-7674,5602211894674385
59,617-843-0439,68258-2994,3571507104950230
60,220-742-4200,68703-113,3547069912331658
61,674-394-3074,12830-767,67712200729260988
62,489-787-9654,0067-8114,3546574835877431
63,569-843-2917,55714-4447,3528965582006962
64,875-359-9084,51346-164,3533754174251225
65,371-273-4316,0093-5787,3586655854190813
66,775-695-6688,24658-163,5602251599033743
67,695-953-9447,10100-119,6376114264402894
68,835-790-2684,37000-148,50204766792363793
69,901-200-7964,16590-764,3552106595196602
70,305-995-5984,43063-508,4405428372453494
71,584-315-8344,55154-0903,201882967261833
72,617-458-5846,50991-901,3537198687648434
73,120-702-2554,49230-200,201403265590011
74,182-349-9127,0113-0977,30079011166319
75,293-628-7932,68776-1001,3536288712097284
76,115-637-4368,0781-2168,3550728420892477
77,560-882-6603,0145-0061,6759556222831519742
78,396-153-0233,0409-9789,6771946862020950879
79,449-158-9254,41167-4244,3562554003561784
80,236-398-1365,51870-001,4913065610467871
81,336-422-9663,21695-455,5610139757323206
82,321-537-4038,64193-445,5323620314354683
83,812-739-3539,0187-0143,3578166891238193
84,169-440-5928,67046-901,3546914815430829
85,162-947-1297,0378-4043,5445609173518150
86,651-149-2673,41250-397,56022219744395734
87,916-194-7019,50486-616,3532788150795137
88,987-323-7893,0245-0374,633334301334588933
89,586-829-4354,10139-321,3587008568974834
90,693-223-0757,54868-3155,3556033639563991
91,985-604-0609,41190-461,3569029054916289
92,887-675-2468,63148-140,4913458108572866
93,713-562-6551,57841-1305,5018060557977843
94,723-272-0963,66975-350,4905155490009040
95,414-270-0049,59148-020,3570011020777471
96,863-884-2033,0173-0880,3538446227916335
97,921-286-4979,63354-001,30321511382255
98,360-333-5047,54973-3084,3573805378830296
99,271-945-5017,20276-814,201672044292434
100,401-702-8843,42549-613,6389522579782708
101,634-709-5678,63354-020,3532883598081644
102,897-551-9857,35000-086,5602237676079493
103,199-767-4965,17856-3188,6759647884704311
104,312-675-4211,0615-6559,3529639668232904
105,766-124-2601,51191-2046,56022183317673044
106,797-373-9899,49035-565,5610032268781642
107,469-786-1992,0186-0004,501806470702407485
108,803-885-6039,55289-261,3564401783318936
109,730-232-8324,57237-008,67620596244327256
110,721-639-3259,57520-0719,5468122337341206
111,269-220-3988,0363-0133,30205655710068
112,141-198-5693,21695-205,3563402504161655
113,574-502-6715,50436-3173,3555572305921331
114,643-348-4988,49643-317,6376756267581908
115,294-664-6738,0409-2336,4175008209051972
116,324-224-0996,0781-3169,36539925854239
117,560-621-5207,75847-1401,6388196913858424
118,692-835-7582,0378-7103,30171304504007
119,110-748-3132,58809-536,30185255932710
120,343-760-7440,41163-161,4917372171185140
121,405-810-1425,52125-387,5602214823578925
122,771-632-7427,48433-328,201569754346568
123,630-350-9016,49288-0805,589385139471194731
124,511-169-8377,41167-4310,201616364120535
125,478-211-7104,67877-197,5602235320689907
126,862-241-1536,0179-1435,3553271652852163
127,399-138-3062,13925-121,6759084929635658
128,304-278-6645,63629-2733,5481225533199139
129,476-541-6187,68745-2018,201670563134037
130,411-337-0879,67692-241,5002358544505695
131,974-851-2302,69234-003,6759527341801837
132,232-591-0344,52686-339,5602244378721094278
133,311-861-7303,68987-010,201425770888192
134,685-141-8184,68599-0208,4026222452287883
135,686-959-6829,55992-404,3545326212383892
136,382-373-5464,50730-4401,3586120115796254
137,633-627-2969,43857-0022,3552843648896214
138,944-808-3068,0904-3003,5602243044433974
139,350-829-7696,49999-139,201695555191000
140,464-866-2660,41250-462,3545014454451581
141,377-866-7084,36987-2595,3581732430373141
142,766-960-3792,0268-6121,5108752882457720
143,458-931-4117,52584-062,3586417031223599
144,846-575-1314,68391-242,3567561903957579
145,728-347-3276,21695-896,5467149078533866
146,420-381-2841,52343-041,30255834803953
147,470-891-8643,54868-5869,4175001678000802
148,312-446-4185,55714-2002,374283526289830
149,763-607-2718,58668-2531,3554004313485274
150,332-960-5975,0093-0308,3549208943314618
151,432-556-0489,75990-968,6762540318007549
152,956-516-7611,59762-0145,5602257213628164
153,111-300-9984,49348-959,5100173906033488
154,172-893-2213,60608-017,3537144923916672
155,730-848-0847,55910-395,6304530503266872
156,593-722-6443,27281-007,3550555355625246
157,127-830-3363,14783-323,3536314563222266
158,351-811-3807,52125-903,3531618292174431
159,992-733-9470,54868-5067,633401879600105746
160,297-324-0055,59115-068,6771952425329507328
161,337-353-7935,36987-1249,201745718287979
162,719-879-2008,58167-112,564182691765775201
163,868-964-2930,59535-7301,3555923844962205
164,510-711-6908,50804-120,3544010309926224
165,245-599-3826,16590-938,6371339332111905
166,245-499-5054,50436-0916,3546190600211894
167,325-343-7446,51386-741,5602246922500962
168,971-356-0278,51824-006,6767447070214016901
169,194-859-7417,63323-101,4017953399425
170,575-289-0268,49035-608,4508386284749787
171,824-306-0174,0179-0143,3553389308282427
172,300-155-7162,0555-0952,337941110059440
173,750-889-8116,63323-270,5641822599357908295
174,260-567-1759,52125-131,201950474677179
175,645-231-9891,43742-0485,3573614579250639
176,585-789-5659,41520-478,3581816351942982
177,403-633-3469,30142-700,6304145084668143704
178,968-179-0524,0179-0118,5641826640028214808
179,333-261-5279,36987-2704,4405753201921050
180,383-484-5532,57366-0001,3582402141881902
181,849-522-7880,0498-1070,4041596765636
182,309-470-0731,0641-6154,56022585033009784
183,185-652-5494,17478-012,4903971814621910
184,277-494-2948,13537-242,3532340103354115
185,512-166-3188,68084-281,4041591766340
186,590-288-8058,63629-2697,3545843168432010
187,465-379-0713,60637-018,6709103458529214
188,273-329-1842,0121-0577,3572682880231623
189,319-932-9580,45802-040,67096805853982813
190,523-643-8198,55910-120,3570670061113944
191,461-294-6278,65044-5076,379757509642375
192,850-972-0354,36987-1700,5100144063915742
193,589-962-9760,67296-0755,5048372677303634
194,677-244-3780,60505-3604,3544204186525254
195,967-726-8186,52371-100,5893441037553041874
196,243-645-6018,55154-5431,3549840085533769
197,416-642-2992,66184-400,5018430537236672133
198,364-837-4458,69249-000,5400939515007502
199,511-195-4200,49288-0951,5602240915143906
200,539-825-6713,36987-2866,4405037704595284
201,597-946-5133,13107-062,3571010787431321
202,533-909-3282,0591-3137,3575596645232477
203,397-662-6810,66129-510,630469825968820314
204,145-101-4095,65044-2855,3577182745785298
205,131-860-7107,62742-4043,3581982888148459
206,976-338-9370,55714-2214,6304073511967066
207,100-342-2884,62900-4012,67061187101247211
208,323-580-3391,37000-384,5468175168693731
209,932-859-7341,55315-529,3539269936831622
210,719-352-4903,52959-746,4145039035018
211,676-955-6389,65162-177,560224176016356629
212,875-453-8780,41595-5517,56022307263356631
213,826-891-2557,43353-829,67618380602178880
214,681-482-0041,47682-113,670989611661666155
215,930-664-1110,0378-6169,5007666422562793
216,352-604-2511,54868-4515,3575799011592991
217,425-273-2659,68084-341,4017957858475
218,939-560-5040,50730-2001,060473619835939280
219,145-586-1347,43068-108,5002350423242581
220,377-624-9336,68084-422,337941482270518
221,671-620-5361,68472-075,3549794232364877
222,683-517-0824,65044-1788,3577045126535196
223,361-403-7597,36987-1339,3530773604065974
224,575-717-4514,21695-237,337941926675371
225,599-111-2755,68828-083,30401085711780
226,332-601-2442,53808-0251,3568533715944342
227,203-174-4411,64725-5916,374622487287749
228,362-459-9317,16853-1261,3545158663894980
229,935-353-1839,41163-179,30105314803694
230,836-771-0940,35356-429,3540538725118111
231,359-744-3189,59779-094,5602236015730709
232,460-235-6389,63304-709,3588391743823319
233,360-455-9140,63824-730,5602225879176539
234,165-201-8354,49884-600,5100171851664109
235,738-378-1864,0268-1445,372301155640941
236,961-334-8582,46994-453,5414345904391339
237,257-279-8006,0135-0076,3554936254492423
238,739-688-9272,0409-4170,337941587599159
239,806-681-4347,37012-013,30307431429110
240,653-912-1287,21130-461,5002352064635602
241,494-545-1247,60505-0223,3564099507019267
242,657-818-6655,54973-3187,201668074553612
243,454-651-2598,65862-559,3529477965414903
244,376-620-5836,42508-149,6383935471572850
245,160-969-9997,0603-1011,30415814824243
246,764-586-1272,43353-818,3579018501250432
247,221-630-6446,57243-503,3534307159274453
248,864-609-2288,57237-102,5546361972835652
249,346-450-4193,0051-8450,3569211352895007
250,829-510-0139,36987-3293,4026700752924644
251,612-132-7841,63323-123,3572856487257450
252,860-346-6184,68001-139,3577023519942568
253,745-857-4816,63629-1477,3553286016606444
254,933-676-1979,37000-776,374283269100392
255,605-987-7795,57520-1251,370478680710936
256,731-356-6041,31722-377,503859579767369950
257,750-458-3576,55154-5624,3555585302656908
258,322-227-5861,49349-570,6304159707755330
259,280-106-1056,68828-078,5602218706218160
260,691-248-0873,13734-128,3569216852072304
261,206-960-8849,10544-002,675939200547682733
262,575-278-6195,62756-755,3552337391479997
263,307-605-4573,55154-3380,3575605725812734
264,918-262-5331,55910-503,5602213657023933
265,959-341-6473,57520-0481,3572382959075312
266,963-420-2782,43857-0332,3537997848414358
267,278-506-2836,32909-723,3536577746276579
268,824-571-1065,60846-802,633332292593045834
269,788-434-2241,10742-8152,3579857939488712
270,208-887-0192,68382-761,3574325687651175
271,853-855-8057,68387-497,5527373992603229
272,992-665-5553,16729-276,3582400058079189
273,219-273-4738,50436-6291,490543729630670967
274,936-773-9959,10191-1587,670668582694946286
275,381-273-4667,57520-1049,3571279539988041
276,456-603-6830,54868-4537,5610481157949820
277,921-148-6750,21695-020,3567184604740382
278,641-849-4186,59779-258,337941881293640
279,683-791-1790,10345-020,3543579652600652
280,894-193-5105,55714-2337,30051373612677
281,306-418-3336,51824-474,3543232110133730
282,159-452-2802,48951-3055,30463832044964
283,804-294-2285,42211-204,4903593889407569
284,917-122-3497,53208-445,3567890134385973
285,443-471-7679,55714-4477,3562517868855690
286,557-444-6206,55154-2725,3530969734609919
287,167-673-0861,10056-707,4903377503580955
288,701-246-9086,55154-0693,4903584841322707
289,617-219-8643,52536-253,3533784693363599
290,726-510-4764,52125-148,675953113169380612
291,853-373-4807,54868-5780,06041407242113541
292,206-336-4307,51511-514,3582540587567871
293,379-647-2847,52125-157,0604211640124643
294,941-379-4042,0143-9715,6399492217264238
295,407-519-8399,55301-227,5576517958510980
296,621-408-1550,0487-2784,3584438298823675
297,557-868-0207,68428-126,3557526081706595
298,225-737-9005,63824-474,6398147716133281
299,592-400-3762,43269-618,5558711207610400
300,207-921-5367,0395-1037,501896487659773389
301,285-639-8949,0378-4597,3586890856364500
302,929-407-7045,64942-0675,670654615176913915
303,568-732-0325,0268-6143,3539921033157315
304,560-629-9266,50184-6300,5602256290126041769
305,991-585-3508,11344-544,5108754314114325
306,476-454-5356,11084-068,4175009825271952
307,651-608-4777,52763-501,4936499747203748
308,899-797-8107,59779-273,30458778657340
309,198-911-0329,63010-027,3558196258876198
310,761-684-4349,65601-774,4175004375122747
311,113-611-3671,36987-1299,5245742487759244
312,796-887-0353,16590-594,6304127143590229742
313,298-878-8620,0093-2050,3574242705609103
314,597-429-6170,10096-0192,5048378073577515
315,563-583-1478,43386-050,6397279673031355
316,525-166-4594,0078-0500,6763554774213615
317,944-218-2782,41250-274,6334347626184851542
318,683-680-9681,61481-0670,4405731255437959
319,244-770-9238,50436-4069,6331104850783975
320,905-878-9059,61543-7786,6706102084334786
321,496-895-2713,55154-2095,5018310638723645
322,190-785-4902,55154-4743,3576892218513057
323,860-485-1873,68645-340,5571760118642542
324,778-231-9206,55111-258,36241513975258
325,204-466-2196,49349-751,3569991842694298
326,999-854-3045,52682-026,374283974364408
327,120-273-2759,36987-1027,3573191700299942
328,303-253-4844,0904-2035,6771824440834387
329,532-146-2365,49349-291,201659548476753
330,744-826-1845,52125-472,337941268342903
331,289-815-4210,46708-209,5121708219924306
332,205-914-3457,0074-3072,201900738334158
333,502-839-0544,43353-837,3569549550401072
334,685-351-4414,0536-4092,3572810886645047
335,643-397-0976,41250-004,3557609804624814
336,985-744-4738,49348-637,201898455150486
337,597-580-0622,30142-205,6709608169363976
338,393-409-7867,24909-132,30215073481580
339,241-376-6597,68737-233,4913141549644425
340,240-318-0161,65841-642,3580760718741540
341,905-238-0573,0186-4010,5641825779265367043
342,299-925-8046,42254-176,3535319012237295
343,995-285-3667,36987-2194,3582081137381414
344,544-632-1037,61504-002,633471722318294003
345,312-892-6792,55648-740,3542022300130336
346,892-393-2614,43378-126,3578685949842870
347,577-753-3805,63629-3638,3576805062288493
348,718-366-3961,0904-1228,340092942862596
349,749-996-2943,21695-763,3558595327674668
350,612-390-3425,59762-0279,5464745665856256
351,539-285-1560,13630-0017,201619117320709
352,989-395-0983,53010-1001,201512309308931
353,267-134-1372,63824-340,201535520980063
354,484-973-9953,51079-976,201452674034830
355,265-473-9173,76398-003,5602250026323639815
356,429-912-6491,41163-691,5108759663775089
357,837-629-9994,60193-203,564182490708133887
358,376-502-8094,59779-098,3540897356926477
359,154-549-5890,64679-744,67610803118487303
360,397-105-8627,0555-0790,201973361211241
361,803-332-8135,43846-0018,30068085762020
362,530-207-9267,59726-129,5134271781801928
363,892-739-5669,49288-0631,6709176641792626193
364,925-805-7389,36987-2550,6759701128316043112
365,455-196-2041,49035-294,4017959998827646
366,605-811-5624,68084-289,3536486610297200
367,139-859-2809,41520-092,3579273561662550
368,875-308-5444,63459-541,3565384885136829
369,615-662-7582,41163-822,491163343326926373
370,425-981-3622,0615-0522,3580353681080359
371,460-225-7861,59726-238,3547446703050996
372,625-376-2459,11716-0041,3569947050073450
373,329-369-7413,59762-0033,5007660336551711
374,125-847-4606,31722-208,4220920953361
375,333-967-1561,60429-318,5469892604120744
376,452-755-3657,37808-082,5352674033446910
377,448-325-6939,0143-9966,56022264008738658
378,128-311-7418,53808-0612,3569083875617105
379,993-803-8219,52584-931,3577723167635352
380,313-165-5695,51523-122,3575824542226099
381,566-686-0375,50260-500,3542912060501694
382,313-523-8961,34645-4010,4405360411912307
383,399-997-5207,33342-020,30592982435943
384,201-898-2859,0087-6073,5048372957633197
385,272-733-7128,0049-0024,060458991081833445
386,179-499-5461,61734-201,3535611969409269
387,604-313-7423,55301-370,374288007058620
388,347-126-3545,50268-575,3539062246498434
389,389-127-2969,54868-2252,3577439195069304
390,367-346-5060,58394-015,56022421145101394
391,457-962-0369,63981-571,3557111266267760
392,803-613-0118,0456-3428,3563905836909112
393,697-916-3157,0093-8164,6381768802667038
394,498-811-1687,49483-081,6375478755704154
395,672-450-7595,0944-2845,5602228166545440
396,591-222-9648,55154-5057,30197889740971
397,834-164-8894,48951-1002,3564374722254043
398,785-916-2440,60429-030,3547550437850983
399,617-222-4275,49967-425,6706536230607204635
400,905-248-7468,0781-3265,5007662546281980
401,458-668-0645,35000-704,56022580456196127
402,394-872-5245,49349-721,670955990010248570
403,169-139-1777,0904-6221,3537203239672294
404,496-270-1681,67544-885,6709300893423595
405,178-755-9387,65321-021,6333933903944927454
406,291-463-9825,30142-166,372301207389174
407,224-358-4473,59779-333,3538571335702465
408,453-496-3338,11523-7231,5610402947003439
409,601-967-8394,0023-9155,3578585483304743
410,370-446-9385,0378-0618,4041374600641585
411,127-710-8204,57664-116,3562221507812820
412,299-751-7391,58930-063,4917190767882288
413,430-947-5750,76237-163,3581346938669858
414,232-822-8351,43063-517,3552335036159560
415,784-220-7629,52993-001,6396354852555580
416,482-638-9324,50268-060,337941808217144
417,647-469-8287,63833-825,3556326931135694
418,230-785-6809,41520-582,3545000876676855
419,157-659-4984,54569-3354,3535219662484710
420,386-221-1201,42043-252,5010120670054512
421,242-314-7674,75921-121,5602223925924523
422,945-353-0548,10163-0202,374283333482594
423,255-729-6759,36987-1839,0604120288610500
424,468-713-5835,42947-620,6390118632676990
425,115-394-7487,57520-0731,060455247690308177
426,390-237-4690,68196-411,0604153399764940
427,640-484-1921,0409-7551,6706864793243544195
428,351-746-8079,64616-038,0604167658487407
429,699-461-2337,50436-3621,5450729160091722
430,373-190-1116,55319-375,3551113825737628
431,870-964-8696,62742-4068,3574424308042110
432,443-783-9686,59779-380,3564924899193034
433,657-814-0138,0378-3702,561075671662289940
434,164-249-5043,58876-103,4913484848941914
435,878-728-1992,0456-2612,5610108146426806
436,274-373-8188,30142-370,3582907987423767
437,172-917-1456,60429-128,3550255978334124
438,547-558-9894,11822-0210,201659735531493
439,100-206-0671,67544-353,3576852750430904
440,802-403-3549,23155-473,30136555171749
441,306-604-9400,47781-730,3531200094986252
442,615-848-1707,69149-101,3528723651850566
443,519-799-2358,65903-270,201680299095733
444,293-706-4659,55154-4037,201812021398560
445,568-169-2211,65162-052,3531244356100715
446,507-319-2652,58232-0806,6763697152146905
447,455-192-8088,47469-110,060492141350788791
448,807-833-3203,36987-2522,6384894977604205
449,940-895-9587,52031-0875,3543380469681476
450,113-813-5673,68084-666,3586301175280989
451,131-784-7704,59779-846,3588415345091825
452,637-679-7579,50730-3004,4175002144689608
453,537-465-5306,12823-401,3572163318840038
454,223-406-8527,37808-829,5018212673909509601
455,798-930-0307,58836-0973,4556532572150
456,712-858-9304,13925-122,5434242728371959
457,223-871-6511,0904-0428,30179041961240
458,528-678-3166,49799-001,3556853544644119
459,764-498-5626,48951-7102,3532233966188862
460,425-974-8015,44911-0063,3580679846617614
461,255-757-2705,0006-9275,4405894844355254
462,179-356-2618,68084-262,30488291039866
463,665-847-0767,0363-0938,5100133253639519
464,773-968-6404,11509-0411,5893004483385945
465,481-495-2512,50268-219,6373717462611257
466,383-558-3637,58809-555,3561181807551976
467,249-622-8864,67760-001,560222693242490917
468,868-385-7553,24839-348,6761552850649518850
469,496-120-6675,64720-226,5108752183601216
470,537-221-5898,54569-1182,5375140957101629
471,586-991-3073,0485-0082,3542841483943342
472,599-989-0649,0615-4523,3575933411967517
473,399-448-5228,69016-001,503827518863782657
474,329-448-8228,67877-159,3550866165794522
475,764-907-9297,37205-646,3557874124533224
476,128-111-6885,55711-064,5602238497195576350
477,678-396-3106,0703-1153,4917492390637323
478,151-672-0698,65601-755,3569998810413809
479,578-461-7713,64127-114,3532469830919708
480,569-592-2458,60681-2101,3580827166997203
481,799-865-7042,42254-093,5602227942695669
482,245-118-1013,35356-391,5048374701244263
483,486-707-1498,66993-534,3555277343435316
484,545-329-5364,35356-438,3548025736720160
485,514-981-3896,68151-0984,30485632460280
486,506-948-1384,51801-005,6762740791900349
487,149-446-4004,17238-520,30209831904694
488,682-765-3597,66579-0023,5467101734531008
489,323-371-8551,0406-0523,3584128519258765
490,491-498-1573,55316-886,5602247335918062994
491,637-921-4185,43772-0001,3534915795057486
492,867-491-1777,17478-120,5100147125783958
493,887-561-4205,0168-0258,4017958134041
494,966-782-1667,0363-0452,5602213535022552
495,161-764-3401,16714-589,4917357294333693
496,808-215-3942,37205-326,3570516005232698
497,770-936-2988,58593-827,3544467050257409
498,770-303-9306,63712-123,3533915250750204
499,154-359-0980,53208-001,5100136645915356
500,872-607-8798,54569-5988,4844457069874398
501,538-293-6749,37000-412,30096563249343
502,920-554-2575,16477-505,36823074582126
503,440-409-1550,0703-8580,3589606970714611
504,978-600-4327,0615-1325,337941767215188
505,159-878-3456,67544-891,3543012444938719
506,134-429-3963,60429-366,372301747055236
507,357-543-3373,50580-451,493660668213532213
508,710-221-4834,51467-127,3566776859415809
509,525-706-8664,50544-101,5048371275872610
510,812-235-5934,13734-034,675969994923121463
511,741-205-6382,0173-0844,6771758210356348
512,273-300-6089,52584-476,3568533127670469
513,611-257-5938,68462-206,3572178826161156
514,131-158-4367,65044-5170,3532555755007196
515,157-734-2499,57344-112,374288511940131
516,426-584-1701,11523-7053,3548830815212322
517,254-458-2967,63936-8508,6767129710295763393
518,421-251-7445,55316-619,6304282095677425356
519,815-730-7503,63824-764,560221692000116400
520,833-996-1920,0574-2121,677109019168480221
521,463-715-8586,57469-004,3586253318219871
522,607-915-1502,0093-5862,3557412719836122
523,749-708-6309,16590-288,5002357092950121
524,456-130-6453,48951-8234,337941753231330
525,818-450-5708,42361-041,3542960669187621
526,393-104-2139,43772-0032,6706782405594585847
527,320-437-0281,0054-8858,374622687223643
528,955-562-8056,46084-111,6334100832009739063
529,751-679-9764,67046-588,6334937817946317957
530,615-333-8402,64205-181,5602249245451384
531,109-226-2431,35356-253,3541949358550877
532,504-669-8646,17856-0668,4913118623696901
533,708-361-0574,0143-9756,3528804844378168
534,375-631-5232,0093-7638,5100175598951232
535,911-181-0400,61657-0961,3583893339729532
536,878-526-7289,76074-121,5893739468789466000
537,630-963-3301,21695-084,3549212866757696
538,483-631-2514,36987-2382,493627114995404919
539,930-299-6057,62175-153,201667349574445
540,664-323-8516,54868-5600,5451950682020143
541,623-575-6879,17856-0788,5602232038159823861
542,996-286-3465,68754-150,30478823277084
543,796-454-0036,43857-0247,5563921793813572
544,852-463-0503,0067-2067,3550490912039501
545,275-802-9963,62175-583,375131798159083
546,573-381-3540,66854-007,30228823610663
547,715-546-3911,0378-5013,4405219216980309
548,796-284-6323,36987-2277,3551915388141422
549,191-789-6262,11716-7900,6771005099661033966
550,701-891-7534,0220-9054,3560439994671655
551,470-719-5736,58370-7001,374283720358639
552,622-278-4020,0008-0407,3531829024545950
553,877-134-5078,69196-1001,3581253904802242
554,188-317-1989,17518-028,4903190256614495
555,557-633-4325,11994-127,6397383960222212
556,190-750-8012,55301-453,3570856775224107
557,977-827-8250,24286-1554,201572423769285
558,896-527-7110,52125-744,5018253402475810114
559,278-924-0159,11523-0631,4175009555378548
560,549-463-9258,12090-0040,3538725576395864
561,721-653-7768,50484-303,5602235801350839
562,370-744-7049,62670-4798,3564842006955220
563,956-686-9869,50114-7004,5602232605311497
564,862-169-2865,16590-303,6304194029914110007
565,638-344-2574,57691-162,3535905629166974
566,559-664-6576,42002-427,6304597275562358
567,905-798-4803,57520-0502,201679739464202
568,308-503-3708,52125-414,3564574519486423
569,239-461-4125,0555-0094,3558770033645183
570,479-551-1315,55301-006,0604791564106940
571,140-208-8574,10135-492,56022420741324418
572,202-783-7497,0268-6741,3564365007892028
573,869-914-6043,43857-0195,3555541069737043
574,118-498-8527,10578-027,5475044219986984
575,729-549-8600,61543-7236,201493655252561
576,627-870-1743,10736-001,4903451866843237487
577,153-315-8590,76472-1134,3580724359820500
578,206-523-5462,0067-6024,3540587238701608
579,214-280-7023,65862-491,3545550935719856
580,740-240-8216,41163-701,3548882677250080
581,314-187-4121,16714-501,3531900579184048
582,702-432-4996,33261-876,5465859769297421
583,142-837-3634,0363-0201,3583680432803151
584,610-747-5018,44567-222,3584291576271319
585,241-428-7139,63304-261,3587093885810044
586,264-881-9731,49348-802,3550674362604829
587,363-630-3437,64720-224,5048376979569214
588,878-219-9260,66582-312,3550265111211394
589,932-157-2818,57955-6321,374283200859270
590,836-444-6740,48951-4070,561082669446210084
591,339-928-4207,0536-3479,201707130895433
592,575-152-1271,0409-1273,36481936380781
593,140-825-0161,36987-1367,36006283776339
594,185-453-9120,0955-1004,3589030405260019
595,266-238-4258,76237-173,201662425996596
596,238-312-8631,41163-052,5048371156032532
597,166-248-2477,24236-121,5602248941906584
598,216-475-1309,69026-253,4903271186413366154
599,595-879-9581,41163-822,3560878748401630
600,738-966-5604,0093-7796,676101823323414763
601,147-440-2475,0268-0822,201732874797041
602,188-171-8946,0603-2582,3530546522874598
603,692-956-7661,54868-6308,3550098236101293
604,776-437-4955,0085-0517,5893707924204869
605,991-577-8893,33261-155,201746812038870
606,499-972-7276,42254-212,5602214977381787
607,988-276-5347,54162-011,3532758655814279
608,922-150-4997,52686-331,6370037964901558
609,872-265-5302,54973-9120,501883166275731832
610,649-232-2693,0591-3194,3543930874808328
611,655-845-3776,62750-056,6771687026328383
612,699-408-4948,10237-737,5427343691493553
613,832-510-7347,49035-615,3549027716470351
614,868-852-8647,59779-366,5450888049315072
615,807-820-6150,55910-705,6771900141867379
616,440-579-3994,52584-704,3584065830990959
617,991-997-2854,61601-1125,5244769220295377
618,318-765-7231,55316-050,3555361401657100
619,342-238-5655,63187-114,5602233923856098
620,840-969-3301,49288-0302,370570791961968
621,204-423-0389,0527-1704,4905068825117014121
622,869-642-4201,0781-3245,3578580145912009
623,652-763-8789,65044-1860,5100143445634450
624,504-507-3104,59011-751,5602246457662179
625,616-166-8921,0440-7384,3553049524501683
626,155-747-9079,57520-0120,201766994155573
627,772-115-8576,50436-3762,6334146367334893109
628,401-646-1941,24488-043,3573698551699228
629,110-928-5041,54569-0417,3559039602594027
630,180-308-5801,55316-153,5002353088002282
631,652-289-2395,50436-3845,5602252997277783
632,705-164-3853,54575-382,3531763606310295
633,694-984-4326,54868-0154,5100177309043713
634,258-447-2090,52125-453,5602232335230827
635,744-940-0566,29500-910,3587376047537849
636,954-631-3582,35356-713,6304728936330824
637,366-395-8730,0173-0526,372301779279696
638,846-532-3930,52533-001,491148710614240388
639,847-465-6815,61734-105,3560795232827726
640,814-160-0136,37000-300,337941224286962
641,228-313-5076,33992-1402,4508797424800944
642,494-348-2201,24987-249,3572764516026799
643,920-415-3418,50436-0157,372301360127809
644,407-445-0781,42002-512,372301970969970
645,986-104-5602,33261-332,560221429431030441
646,350-882-9240,65862-515,3565571653860388
647,320-614-3037,21695-946,5381614338715143
648,576-866-8925,10544-016,6771617684925755684
649,693-109-6598,22700-143,201735429677220
650,954-348-1531,55111-147,201719702455330
651,894-192-2958,59667-0109,3583767681183714
652,556-118-7980,54162-004,201417165072615
653,918-997-2490,0942-6322,3569849187300881
654,720-432-4355,62756-445,30000621802192
